This file was created using the 202112 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RMW,CMA,RF
199510   ,-3.96   ,-0.08   ,-1.54    ,0.89   ,-0.48    ,0.47
199511   ,-1.54    ,0.52   ,-2.13    ,1.38   ,-0.18    ,0.42
199512    ,2.95   ,-0.21   ,-2.07    ,2.03   ,-0.27    ,0.49
199601    ,8.45    ,1.80   ,-1.63    ,0.55   ,-0.69    ,0.43
199602   ,-2.71    ,2.58   ,-0.61    ,2.17   ,-0.59    ,0.39
199603    ,0.82    ,3.21   ,-3.02    ,2.24   ,-0.80    ,0.39
199604    ,2.08    ,2.40   ,-2.17    ,0.32    ,0.32    ,0.46
199605   ,-1.77   ,-3.73    ,0.78   ,-0.13    ,1.01    ,0.42
199606    ,0.72    ,1.85   ,-0.61    ,0.96   ,-0.08    ,0.40
199607   ,-5.86    ,2.86   ,-0.62    ,0.14    ,0.65    ,0.45
199608    ,2.62    ,0.81   ,-4.39    ,1.51   ,-0.17    ,0.41
199609    ,1.07    ,2.37   ,-1.89   ,-0.32   ,-0.49    ,0.44
199610   ,-2.20    ,2.34    ,0.27    ,1.93   ,-1.47    ,0.42
199611    ,1.09   ,-1.25    ,2.84   ,-0.95    ,0.01    ,0.41
199612    ,0.20   ,-2.47    ,1.57    ,0.77   ,-0.10    ,0.46
199701    ,6.62    ,1.25    ,4.51   ,-0.93    ,1.43    ,0.45
199702    ,4.78    ,0.70    ,0.05   ,-3.05    ,1.69    ,0.39
199703   ,-2.58    ,2.51   ,-1.59    ,1.93    ,0.05    ,0.43
199704   ,-2.43   ,-2.60    ,5.90   ,-0.83    ,0.58    ,0.43
199705    ,2.69   ,-1.79    ,0.25   ,-0.47    ,0.78    ,0.49
199706    ,4.37   ,-0.92    ,3.03   ,-1.76   ,-1.56    ,0.37
199707    ,0.36    ,0.22    ,4.20    ,1.31   ,-3.85    ,0.43
199708  ,-11.62    ,1.95    ,5.99   ,-2.80   ,-2.06    ,0.41
199709    ,1.30   ,-3.02    ,3.79    ,0.72    ,3.88    ,0.44
199710  ,-16.30    ,2.91    ,1.09    ,1.11    ,0.85    ,0.42
199711   ,-5.79   ,-4.84    ,5.98    ,0.72   ,-0.18    ,0.39
199712   ,-0.44   ,-3.44    ,2.81    ,0.30   ,-1.72    ,0.48
199801   ,-6.60    ,0.30   ,-4.18   ,-0.11   ,-1.16    ,0.43
199802   ,10.17   ,-1.63   ,-2.99    ,2.64   ,-2.45    ,0.39
199803    ,3.70    ,0.41    ,4.55   ,-1.51    ,2.26    ,0.39
199804    ,0.34    ,1.47   ,-0.46   ,-1.91   ,-0.10    ,0.43
199805  ,-10.81    ,6.48   ,-3.42    ,0.84   ,-1.67    ,0.40
199806  ,-10.61    ,1.93    ,1.46    ,0.54    ,1.55    ,0.41
199807    ,1.85   ,-1.65    ,0.74   ,-1.14   ,-0.86    ,0.40
199808  ,-24.96    ,6.48    ,2.87   ,-0.86    ,2.54    ,0.43
199809    ,3.59   ,-4.59    ,1.96    ,0.94    ,0.90    ,0.46
199810    ,7.76   ,-6.27   ,-1.03    ,2.12    ,1.28    ,0.32
199811    ,6.12    ,1.42    ,0.22    ,0.68   ,-1.66    ,0.31
199812   ,-2.11    ,1.59   ,-0.48   ,-0.19   ,-0.29    ,0.38
199901   ,-1.90   ,-2.19   ,-1.67    ,1.03    ,3.42    ,0.35
199902   ,-0.13   ,-1.34    ,0.18   ,-0.09    ,1.26    ,0.35
199903    ,8.69   ,-1.05    ,3.40    ,1.61   ,-0.28    ,0.43
199904   ,10.32   ,-0.29    ,5.20   ,-4.44    ,2.08    ,0.37
199905    ,0.84    ,5.21   ,-1.61    ,1.66    ,0.88    ,0.34
199906   ,10.21    ,2.05   ,-0.18    ,1.36   ,-4.36    ,0.40
199907   ,-1.77    ,1.67   ,-0.01    ,0.48    ,6.53    ,0.38
199908    ,2.41    ,2.48    ,2.03    ,0.65    ,5.91    ,0.39
199909   ,-3.40    ,1.47    ,1.03   ,-1.55    ,2.37    ,0.39
199910    ,2.94   ,-0.30    ,0.12   ,-2.61    ,1.30    ,0.39
199911    ,8.32   ,-2.01   ,-3.20    ,2.50    ,4.55    ,0.36
199912   ,11.38   ,-7.89   ,-6.06    ,1.15   ,-4.66    ,0.44
200001    ,0.42    ,4.17    ,2.93   ,-3.03   ,-2.39    ,0.41
200002    ,2.51   ,-0.43  ,-11.54    ,8.05    ,0.99    ,0.43
200003    ,0.18    ,0.49   ,-0.84    ,2.05   ,-1.97    ,0.47
200004  ,-11.33    ,0.06    ,3.68    ,0.13   ,-1.36    ,0.46
200005   ,-3.10   ,-0.53    ,1.60    ,0.59    ,2.82    ,0.50
200006    ,1.82   ,-4.48   ,-3.20    ,2.84    ,1.18    ,0.40
