"country","hdi2019","pop2022"
"Guinea-Bissau","0.4800","2063.3670"
"Liberia","0.4800","5305.1170"
"DR Congo","0.4800","95240.7920"
"Guinea","0.4770","13865.6910"
"Yemen","0.4700","31154.8670"
"Eritrea","0.4590","3662.2440"
"Mozambique","0.4560","33089.4610"
"Sierra Leone","0.4520","8306.4360"
"Burkina Faso","0.4520","22102.8380"
"Mali","0.4340","21473.7640"
"South Sudan","0.4330","11618.5110"
"Burundi","0.4330","12624.8400"
"Chad","0.3980","17413.5800"
"Central African Republic","0.3970","5016.6780"
"Niger","0.3940","26083.6600"
